,CrimeGroup_Name,Latitude,Longitude
12506,BURGLARY - NIGHT,16.048719,76.064261
10459,BURGLARY - NIGHT,16.069693,75.745631
2255,BURGLARY - NIGHT,15.983548,75.698719
18128,BURGLARY - NIGHT,16.183884,75.608693
18120,BURGLARY - NIGHT,16.177685,75.610578
18073,BURGLARY - NIGHT,16.193393,75.566873
17347,BURGLARY - NIGHT,16.505216,75.294857
5757,BURGLARY - NIGHT,16.172535,75.655721
15731,BURGLARY - NIGHT,16.573764,75.268219
8954,BURGLARY - NIGHT,16.348352,75.616021
12042,BURGLARY - NIGHT,16.070587,76.063962
19573,BURGLARY - NIGHT,16.086708,75.582447
2178,BURGLARY - NIGHT,15.926434,75.676562
710,BURGLARY - NIGHT,16.103914,75.867943
18299,BURGLARY - NIGHT,16.186961,75.560107
10800,BURGLARY - NIGHT,16.074542,75.678226
15712,BURGLARY - NIGHT,16.421127,75.389146
13688,BURGLARY - NIGHT,15.960741,76.103652
4179,BURGLARY - NIGHT,16.102835,75.781081
6285,BURGLARY - NIGHT,16.182562,68.177512
9389,BURGLARY - NIGHT,16.383785,75.39717
868,BURGLARY - NIGHT,16.030423,75.870706
16944,BURGLARY - NIGHT,16.513587,75.276893
16816,BURGLARY - NIGHT,16.507045,75.291915
13705,BURGLARY - NIGHT,15.057562,76.06435
15355,BURGLARY - NIGHT,16.510483,75.262706
1028,BURGLARY - NIGHT,16.104886,75.8644
4697,BURGLARY - NIGHT,16.100143,75.784928
18301,BURGLARY - NIGHT,16.19317,75.563866
4745,BURGLARY - NIGHT,16.194399,75.762312
5201,BURGLARY - NIGHT,16.251657,75.787799
1286,BURGLARY - NIGHT,15.93972,75.914667
9779,BURGLARY - NIGHT,6.752783,68.177512
15346,BURGLARY - NIGHT,16.417646,75.343531
16048,BURGLARY - NIGHT,16.512799,75.265488
9019,BURGLARY - NIGHT,16.261298,75.630101
19190,BURGLARY - NIGHT,16.059204,75.646018
18093,BURGLARY - NIGHT,16.207475,75.501079
869,BURGLARY - NIGHT,16.083112,75.91674
16836,BURGLARY - NIGHT,16.50833,75.296552
10456,BURGLARY - NIGHT,16.054584,75.797394
4315,BURGLARY - NIGHT,16.183051,75.626069
12161,BURGLARY - NIGHT,16.155128,76.087931
2949,BURGLARY - NIGHT,15.926744,75.678214
10463,BURGLARY - NIGHT,16.073264,75.711204
17938,BURGLARY - NIGHT,16.166959,75.594356
12508,BURGLARY - NIGHT,16.050194,76.064679
2422,BURGLARY - NIGHT,15.919988,75.680545
15469,BURGLARY - NIGHT,16.512322,75.259068
14126,BURGLARY - NIGHT,16.092403,76.303585
707,BURGLARY - NIGHT,16.026951,75.871049
11870,BURGLARY - NIGHT,16.060597,76.059417
18061,BURGLARY - NIGHT,16.190745,75.554494
16835,BURGLARY - NIGHT,16.509211,75.302639
16719,BURGLARY - NIGHT,16.506903,75.272311
15345,BURGLARY - NIGHT,16.418959,75.343527
15348,BURGLARY - NIGHT,16.4346,75.359245
15344,BURGLARY - NIGHT,16.421551,75.34439
16975,BURGLARY - NIGHT,16.507356,75.286322
2947,BURGLARY - NIGHT,15.844211,75.751731
1255,BURGLARY - NIGHT,15.937718,75.910938
13194,BURGLARY - NIGHT,15.959942,76.109999
9296,BURGLARY - NIGHT,16.3767,75.708609
17939,BURGLARY - NIGHT,16.16984,75.587862
4680,BURGLARY - NIGHT,16.156298,75.672225
4742,BURGLARY - NIGHT,16.152247,75.695512
10573,CASES OF HURT,16.076997,75.681108
19514,CASES OF HURT,16.098422,75.47321
5697,CASES OF HURT,16.172535,75.655721
16702,CASES OF HURT,16.506958,75.287029
9184,CASES OF HURT,16.383214,75.406129
13643,CASES OF HURT,15.05842,76.007439
4783,CASES OF HURT,16.119072,75.699847
14155,CASES OF HURT,16.053294,76.234507
625,CASES OF HURT,16.02659,75.863059
11752,CASES OF HURT,16.119239,75.983218
4281,CASES OF HURT,16.087815,75.737599
5955,CASES OF HURT,16.190091,75.700098
2996,CASES OF HURT,15.840651,75.524431
10572,CASES OF HURT,16.075196,75.679519
9874,CASES OF HURT,16.367712,75.582857
9981,CASES OF HURT,16.349342,75.612102
18357,CASES OF HURT,16.147899,75.545196
1326,CASES OF HURT,16.123566,75.124564
2451,CASES OF HURT,15.921131,75.68218
5083,CASES OF HURT,16.275553,75.970393
4864,CASES OF HURT,16.147695,75.680451
17861,CASES OF HURT,16.172585,75.45066
15430,CASES OF HURT,16.580253,75.162756
9913,CASES OF HURT,16.270968,75.57733
18107,CASES OF HURT,16.149936,75.527178
4280,CASES OF HURT,16.087852,75.737398
12515,CASES OF HURT,16.223487,76.043822
19168,CASES OF HURT,16.093138,75.527137
9186,CASES OF HURT,16.379769,75.600245
20021,CASES OF HURT,16.014857,75.548196
2981,CASES OF HURT,15.840651,75.524431
11830,CASES OF HURT,16.120119,75.985582
11700,CASES OF HURT,16.057874,76.058078
1270,CASES OF HURT,16.017633,75.882473
9135,CASES OF HURT,16.333309,75.642809
9070,CASES OF HURT,16.37829,75.583921
770,CASES OF HURT,16.055239,75.946971
12084,CASES OF HURT,16.16498,76.033966
10859,CASES OF HURT,16.016953,75.855077
14154,CASES OF HURT,16.053263,76.234651
18368,CASES OF HURT,16.206542,75.497936
12092,CASES OF HURT,16.056332,76.082119
4171,CASES OF HURT,16.316871,75.889287
19539,CASES OF HURT,16.128413,75.513361
16782,CASES OF HURT,16.504137,75.302483
12044,CASES OF HURT,16.166432,76.111763
17827,CASES OF HURT,16.179557,75.605403
5795,CASES OF HURT,16.186103,75.710985
18367,CASES OF HURT,16.206474,75.497903
2652,CASES OF HURT,16.002092,75.644191
13356,CASES OF HURT,15.951766,76.114869
5839,CASES OF HURT,16.172535,75.655721
16949,CASES OF HURT,16.500946,75.288131
11943,CASES OF HURT,16.050487,75.964343
16964,CASES OF HURT,16.508627,75.282273
4610,CASES OF HURT,16.13741,75.815331
5263,CASES OF HURT,16.115335,75.504903
14608,CASES OF HURT,16.073101,76.211166
6272,CASES OF HURT,16.184572,75.695187
11986,CASES OF HURT,16.133651,76.03549
776,CASES OF HURT,16.138985,75.9143399
4667,CASES OF HURT,16.227175,75.751383
14593,CASES OF HURT,15.889742,76.11804
5754,CASES OF HURT,16.172535,75.655721
13675,CASES OF HURT,15.057279,76.006486
10576,CASES OF HURT,16.04768,75.706435
11934,CASES OF HURT,16.076555,76.13519
8991,CASES OF HURT,16.252672,75.54964
5510,CASES OF HURT,16.172535,75.655721
5801,CASES OF HURT,16.186664,75.704667
5308,CASES OF HURT,16.185172,75.620071
4678,CASES OF HURT,16.221949,75.6646099
6286,CASES OF HURT,16.190461,75.704609
8162,CASES OF HURT,16.282512,75.1037
2254,CASES OF HURT,15.916404,75.675555
15406,CASES OF HURT,16.588009,75.214882
11731,CASES OF HURT,16.074122,76.05648
4340,CASES OF HURT,16.296098,75.899835
15776,CASES OF HURT,16.597768,75.177262
14420,CASES OF HURT,16.097831,76.186737
4725,CASES OF HURT,16.285327,75.98738
14119,CASES OF HURT,16.126053,76.214494
10876,CASES OF HURT,15.254565,75.126545
15754,CASES OF HURT,16.431053,75.361235
9904,CASES OF HURT,16.349504,75.349601
19217,CASES OF HURT,16.023291,75.481855
12463,CASES OF HURT,16.100666,76.027792
8074,CASES OF HURT,16.462764,75.181144
9381,CASES OF HURT,16.393145,75.490101
13350,CASES OF HURT,15.964449,76.114509
15504,CASES OF HURT,16.479554,75.397267
17364,CASES OF HURT,16.508413,75.294565
1037,CASES OF HURT,16.00197,75.959203
9994,CASES OF HURT,16.279183,75.5022
10875,CASES OF HURT,16.154565,75.857571
15976,CASES OF HURT,16.44335,75.364374
13113,CASES OF HURT,15.960679,76.116254
16053,CASES OF HURT,16.510541,75.308251
2927,CASES OF HURT,15.975817,75.70588
13558,CASES OF HURT,15.057279,76.062921
2409,CASES OF HURT,15.920054,75.676475
19305,CASES OF HURT,16.021977,75.467579
13179,CASES OF HURT,15.985593,76.099843
9343,CASES OF HURT,16.375894,75.528017
4266,CASES OF HURT,16.234202,75.795974
16834,CASES OF HURT,16.496857,75.297171
19372,CASES OF HURT,16.068615,75.566076
15366,CASES OF HURT,16.575373,75.270486
4882,CASES OF HURT,16.217602,75.891555
4316,CASES OF HURT,16.237241,75.956979
16714,CASES OF HURT,16.508879,75.289281
15660,CASES OF HURT,16.611652,75.211928
9919,CASES OF HURT,16.262495,75.435313
14372,CASES OF HURT,15.916334,76.140466
7033,CASES OF HURT,16.179275,75.663578
4320,CASES OF HURT,16.22497,75.671191
621,CASES OF HURT,16.109461,75.933395
14423,CASES OF HURT,16.015934,76.139214
5233,CASES OF HURT,16.279119,76.027445
2267,CASES OF HURT,15.848661,75.756232
7784,CASES OF HURT,16.420303,75.0842
1018,CASES OF HURT,16.093608,75.929531
9016,CASES OF HURT,16.360725,75.688356
8194,CASES OF HURT,16.47332,75.13192
5755,CASES OF HURT,16.172535,75.655721
8955,CASES OF HURT,16.449247,75.560556
11915,CASES OF HURT,16.052198,76.057793
12073,CASES OF HURT,16.057247,76.035709
5317,CASES OF HURT,16.280455,75.834229
15678,CASES OF HURT,16.434152,75.359335
12045,CASES OF HURT,16.185586,76.099582
11732,CASES OF HURT,16.05901,76.0828379
19157,CASES OF HURT,16.113747,75.661141
9368,CASES OF HURT,16.296091,75.624643
13601,CASES OF HURT,15.96287,76.112049
16052,CASES OF HURT,16.303944,75.184123
5818,CASES OF HURT,16.191004,75.701728
14404,CASES OF HURT,16.009547,76.129985
12088,CASES OF HURT,16.059782,76.058878
10562,CASES OF HURT,16.077791,75.717475
12126,CASES OF HURT,16.054378,76.06268
14092,CASES OF HURT,15.959354,76.273785
5249,CASES OF HURT,16.18374,75.625796
16684,CASES OF HURT,16.501137,75.290721
13355,CASES OF HURT,15.952541,76.112505
5773,CASES OF HURT,16.186395,75.696183
18378,CASES OF HURT,16.186167,75.612019
4696,CASES OF HURT,16.205378,75.89042
13630,CASES OF HURT,15.965651,76.111878
657,CASES OF HURT,16.055339,75.880878
6283,CHEATING,16.188577,75.707081
3097,CHEATING,16.171008,75.652976
2134,CHEATING,16.003646,75.644158
12080,CHEATING,16.159586,76.0150759
19316,CHEATING,15.976684,75.531848
13696,CHEATING,15.57467,76.06435
2495,CHEATING,15.910888,75.657417
861,CHEATING,16.019186,75.88136
16715,CHEATING,16.505246,75.2931
2486,CHEATING,15.910928,75.657676
11928,CHEATING,16.059851,76.0502489
5718,CHEATING,16.172535,75.655721
17355,CHEATING,16.511592,75.274685
7764,CHEATING,16.484362,75.129631
5805,CHEATING,16.186318,75.707339
5944,CHEATING,16.186325,75.705371
13372,CHEATING,15.970049,76.112307
5967,CHEATING,16.18336,75.683402
2571,CHEATING,15.912004,75.657261
3087,CHEATING,16.380486,75.113699
7808,CHEATING,16.47856,75.128382
16840,CHEATING,16.506477,75.293549
4275,CHEATING,16.146226,75.638981
13121,CHEATING,15.962619,76.117607
18086,CHEATING,16.18272,75.613657
2650,CHEATING,15.911879,75.660507
14405,CHEATING,15.922794,76.075247
5493,CHEATING,16.172535,75.655721
5407,CHEATING,16.172535,75.655721
10401,CHEATING,16.04788,75.781611
5684,CHEATING,16.172535,75.655721
3149,CHEATING,16.328721,75.298269
13651,CHEATING,15.976158,76.11068
11770,CHEATING,16.060086,76.057836
5776,CHEATING,16.182429,75.697144
3080,CHEATING,16.490074,75.157712
13645,CHEATING,15.057271,76.007128
7747,CHEATING,16.460276,75.158643
5941,CHEATING,16.186548,75.705574
13685,CHEATING,15.005805,76.000647
17386,CHEATING,16.509995,75.277958
7524,CHEATING,16.472203,75.1536
732,CHEATING,16.059533,75.942033
19125,CHEATING,15.975245,75.458204
15440,CHEATING,16.50988,75.260979
3243,CHEATING,16.30209,75.17271
5636,CHEATING,16.172535,75.655721
16961,CHEATING,16.511767,75.27473
13703,CHEATING,15.235677,76.23562
2159,CHEATING,15.898966,75.496333
932,CHEATING,16.105394,75.86376
1301,CHEATING,16.055611,75.9509
5638,CHEATING,16.172535,75.655721
12079,CHEATING,16.158765,76.015756
8120,CHEATING,16.479059,75.130591
13342,CHEATING,15.952038,76.114536
15342,CHEATING,16.421708,75.391415
5646,CHEATING,16.172535,75.655721
14591,CHEATING,16.097792,76.205517
13219,CHEATING,15.956838,76.112713
926,CHEATING,15.939572,75.911193
986,CHEATING,16.020368,75.880685
4141,CHEATING,16.210293,75.892785
4138,CHEATING,16.193937,75.845782
3170,CHEATING,16.351526,75.273719
16740,CHEATING,16.505667,75.292079
746,CHEATING,16.054932,75.951313
9689,CHEATING,16.507306,75.441279
19884,CHEATING,15.939829,75.413055
9311,CHEATING,16.417791,75.437583
5942,CHEATING,16.186459,75.705783
5581,CHEATING,16.172535,75.655721
9299,CHILDREN ACT,16.394066,75.604677
1023,CHILDREN ACT,16.063931,75.867265
9298,CHILDREN ACT,16.406145,75.608228
10641,CHILDREN ACT,16.042167,75.731204
14486,CHILDREN ACT,15.91864,76.107047
19577,CHILDREN ACT,15.962054,75.569766
2489,CHILDREN ACT,15.850476,75.568221
13367,CHILDREN ACT,15.954741,76.115565
9300,CHILDREN ACT,16.422381,75.437576
9420,CHILDREN ACT,16.34783,75.61548
12119,CHILDREN ACT,16.069844,76.048942
14362,CHILDREN ACT,16.04414,76.153699
6970,CHILDREN ACT,16.190485,75.558437
19592,CHILDREN ACT,16.041233,75.506745
5080,CHILDREN ACT,16.151357,75.811842
1195,CHILDREN ACT,15.960077,75.860099
18075,CHILDREN ACT,16.168388,75.607377
7998,CHILDREN ACT,16.556919,75.169569
9396,CHILDREN ACT,16.487001,75.446314
2880,CHILDREN ACT,15.901823,75.527761
2400,CHILDREN ACT,15.86523,75.533596
1024,CHILDREN ACT,15.877092,75.951868
17014,COMMUNAL / RELIGION   ,16.503234,75.305208
17362,COMMUNAL / RELIGION   ,16.505882,75.289322
5771,COMMUNAL / RELIGION   ,16.190143,75.70328
5770,COMMUNAL / RELIGION   ,16.187779,75.701267
15798,COMMUNAL / RELIGION   ,16.518396,75.290704
19486,COMMUNAL / RELIGION   ,15.968609,75.465353
12039,COMMUNAL / RELIGION   ,16.159419,76.043005
10538,COMMUNAL / RELIGION   ,16.051418,75.77207
946,COMMUNAL / RELIGION   ,16.021337,75.881146
5753,COMMUNAL / RELIGION   ,16.172535,75.655721
6230,COMMUNAL / RELIGION   ,16.187428,75.701377
9069,COMMUNAL / RELIGION   ,16.368236,75.588134
9295,CONSUMER,16.43045,75.403433
15783,CONSUMER,16.519527,75.404042
15515,CONSUMER,16.565139,75.291314
16955,CONSUMER,16.504476,75.294407
2550,CONSUMER,15.878558,75.710118
16737,CONSUMER,16.505371,75.29273
19597,CONSUMER,16.008198,75.5444
14386,CONSUMER,16.022735,76.080349
9870,CONSUMER,16.230776,75.633988
2592,CONSUMER,15.897437,75.495544
7789,CONSUMER,16.513985,75.164799
699,CONSUMER,16.056706,75.948666
2393,CONSUMER,15.922742,75.757728
17375,CONSUMER,16.0,75.0
7783,CONSUMER,16.493,75.134316
7811,CONSUMER,16.491787,75.1582
17011,CONSUMER,16.50957,75.29959
16681,CONSUMER,16.503462,75.307441
15608,CONSUMER,16.553104,75.172116
9616,CONSUMER,16.360079,75.587468
7830,COPY RIGHT ACT 1957,16.554028,75.175906
5521,COPY RIGHT ACT 1957,16.172535,75.655721
15618,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.533754,75.374127
5516,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.172535,75.655721
4154,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.101367,75.782122
16058,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.511361,75.2637
5883,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.19103,75.705759
5894,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.188386,75.70747
5751,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.172535,75.655721
18362,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.206652,75.49774
6245,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.824656,75.254385
6277,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.182562,75.625541
5738,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.172535,75.655721
6244,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.184542,75.185468
4398,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.175508,75.751498
4446,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.149594,75.696921
16109,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.467784,75.289044
3084,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.051491,75.793402
16847,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.508039,75.283463
16842,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.507942,75.287228
6274,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.190202,75.699881
5769,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.186421,75.690143
7610,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.483772,75.130683
8204,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.2839,75.1037
4104,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.100813,75.781151
16824,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.507906,75.285157
6278,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.191676,75.704425
6268,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.188535,75.707072
10557,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.051189,75.7927079
5888,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.190697,75.703093
7672,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.476872,75.119264
6128,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.192219,75.705445
4103,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.152465,75.690547
5517,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.172535,75.655721
6054,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.15932,75.695675
4306,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.242242,75.76662
5848,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.190164,75.703076
5929,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.189703,75.696686
5780,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.191458,75.702869
6143,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.193293,75.701185
5494,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.172535,75.655721
5764,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.192036,75.7052879
9148,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.346186,75.616698
15500,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.567013,75.365457
8199,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.480827,75.130967
10816,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.04879,75.784542
10817,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.054785,75.794425
5760,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.172535,75.655721
4404,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.150382,75.689637
10904,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",15.254585,75.254585
10903,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",15.258565,75.258545
5783,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.19051,75.703534
3222,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.504211,75.291881
6267,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.184764,75.702931
15681,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.599059,75.174292
16867,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.499808,75.298297
7611,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.478904,75.130552
3105,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.456602,75.113667
5885,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.19205,75.705236
5488,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",16.172535,75.655721
7018,CRIMES RELATED TO WOMEN,16.178332,75.607353
6937,CRIMES RELATED TO WOMEN,16.344582,75.71004
2318,CRIMES RELATED TO WOMEN,15.873912,75.730016
6900,CRIMES RELATED TO WOMEN,16.365333,75.696245
17959,CRIMES RELATED TO WOMEN,16.217401,75.547457
7044,CRIMES RELATED TO WOMEN,16.050111,75.554421
2416,CRIMES RELATED TO WOMEN,15.847121,75.751787
6947,CRIMES RELATED TO WOMEN,16.04921,75.785678
1146,CRIMES RELATED TO WOMEN,16.015132,75.549205
